date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,b2b_gender
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,1:49:00 AM,"CORBIN, EASTON",Little More Country Than That,2009,G,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,1:52:00 AM,"SWINDELL, COLE",Single Saturday Night,2020,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,1:55:00 AM,"RUCKER, DARIUS",If I Told You,2016,G,c-,solo,men,black,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,1:58:00 AM,SUGARLAND,All I Want To Do,2008,G,c-,duo,male-female,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,2:02:00 AM,"ALLEN, JIMMIE",Best Shot,2017,G,c-,solo,men,black,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,2:05:00 AM,"RHETT, THOMAS/PARDI, JON",Beer Can't Fix,2019,G,c-,collab,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,2:08:00 AM,"BROOKS, GARTH",Shameless,1991,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,2:13:00 AM,"JANSON, CHRIS",Bye Mom,2021,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,2:16:00 AM,"ALDEAN, JASON",My Kinda Party,2010,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,2:21:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,2021,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,2:24:00 AM,"GILBERT, BRANTLEY",One Hell Of An Amen,2014,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,2:30:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,2:32:00 AM,"CLARK, TERRI",I Wanna Do It All,2002,G,c-,solo,women,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,2:35:00 AM,"YOAKAM, DWIGHT",A Thousand Miles From Nowhere,1993,G,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,2:38:00 AM,"CARMICHAEL, DILLON",Son Of A,2021,C,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,2:43:00 AM,ZAC BROWN BAND,Same Boat,2021,R,c-,group,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,2:47:00 AM,"YOUNG, CHRIS",Who I Am With You,2013,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,2:49:00 AM,"CHURCH, ERIC",Drink In My Hand,2011,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,2:52:00 AM,"LANE, CHRIS","Big, Big Plans",2019,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,2:56:00 AM,MONTGOMERY GENTRY,My Town,2002,G,c-,duo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,3:00:00 AM,"ELDREDGE, BRETT",The Long Way,2017,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,3:03:00 AM,"CHESNEY, KENNY",All The Pretty Girls,2016,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,3:06:00 AM,"WALLEN, MORGAN",More Than My Hometown,2020,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,3:10:00 AM,BROOKS & DUNN,Brand New Man,1991,G,c-,duo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,3:13:00 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,2021,R,c-,solo,women,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,3:16:00 AM,"STRAIT, GEORGE",Living And Living Well,2001,G,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,3:19:00 AM,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,3:23:00 AM,LADY ANTEBELLUM,Bartender,2014,G,c-,trio,male-female,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,3:28:00 AM,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,2021,R,c-,collab,women,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,3:31:00 AM,BROOKS & DUNN,Red Dirt Road,2003,G,c-,duo,men,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,3:35:00 AM,DIAMOND RIO,Meet In The Middle,1991,G,c-,group,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,3:38:00 AM,"DICKERSON, RUSSELL",Home Sweet,2020,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,3:44:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,3:47:00 AM,"NICHOLS, JOE",Gimmie That Girl,2009,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,3:50:00 AM,"RHETT, THOMAS",Get Me Some Of That,2013,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,3:53:00 AM,"SCOTT, DYLAN",My Girl,2016,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,3:56:00 AM,"BROOKS, GARTH",Ask Me How I Know,2016,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,4:00:00 AM,"ALLEN, JIMMIE",Make Me Want To,2018,G,c-,solo,men,black,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,4:03:00 AM,"COMBS, LUKE",Better Together,2019,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,4:06:00 AM,ALABAMA,Born Country,1991,G,c-,group,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,4:09:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,2020,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,4:13:00 AM,"GILBERT, BRANTLEY",You Don't Know Her Like I Do,2011,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,4:16:00 AM,"OWEN, JAKE",Best Thing Since Backroads,2021,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,4:19:00 AM,"CHURCH, ERIC",Talladega,2014,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,4:25:00 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,4:28:00 AM,"TURNER, JOSH",Long Black Train,2002,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,4:32:00 AM,"MONTGOMERY, JOHN MICHAEL",I Swear,1993,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,4:36:00 AM,"ARTS, TENILLE","Back Then, Right Now",2021,R,c-,solo,women,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,4:43:00 AM,"URBAN, KEITH",Somebody Like You,2002,G,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,4:47:00 AM,"ANDRESS, INGRID",More Hearts Than Mine,2019,G,c-,solo,women,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,4:50:00 AM,"ALDEAN, JASON",Big Green Tractor,2009,G,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,4:54:00 AM,"SHANE, ELVIE",My Boy,2020,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,4:57:00 AM,LONESTAR,What About Now,1999,G,c-,group,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,5:08:00 AM,"COMBS, LUKE",When It Rains It Pours,2017,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,5:12:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,5:17:00 AM,RASCAL FLATTS,Prayin' For Daylight,2000,G,c-,trio,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,5:20:00 AM,ZAC BROWN BAND,Keep Me In Mind,2010,G,c-,group,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,5:24:00 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,5:30:00 AM,"CHESNEY, KENNY",Get Along,2018,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,5:42:00 AM,"MURPHY, DAVID LEE",Dust On The Bottle,1995,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,5:49:00 AM,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,5:52:00 AM,"STRAIT, GEORGE",She'll Leave You With A Smile,2001,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,5:55:00 AM,BROOKS & DUNN,Boot Scootin' Boogie,1992,G,c-,duo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,5:58:00 AM,"SWINDELL, COLE",Ain't Worth The Whiskey,2014,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,6:09:00 AM,"BLACK, CLINT",Like The Rain,1996,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,6:13:00 AM,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,2021,R,c-,collab,women,white,KansasCity,X
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,6:20:00 AM,"SHELTON, BLAKE",God Gave Me You,2011,G,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,6:23:00 AM,"RHETT, THOMAS",What's Your Country Song,2020,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,6:26:00 AM,FLORIDA GEORGIA LINE,Round Here,2012,G,c-,duo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,6:31:00 AM,"PRESLEY, ELVIS",Moody Blue,1976,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,6:42:00 AM,BIG & RICH,Save A Horse (Ride A Cowboy),2003,G,c-,duo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,6:49:00 AM,"HOWARD, BLANE",Run It Back,2020,C,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,6:52:00 AM,"WILSON, LAINEY",Things A Man Oughta Know,2019,R,c-,solo,women,white,KansasCity,X
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,6:55:00 AM,"KEITH, TOBY",I Love This Bar,2003,G,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,6:59:00 AM,"CHESNEY, KENNY",How Forever Feels,1998,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,7:11:00 AM,"URBAN, KEITH",Better Life,2004,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,7:15:00 AM,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,7:19:00 AM,"MESSINA, JO DEE",I'm Alright,1998,G,c-,solo,women,white,KansasCity,X
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,7:22:00 AM,"RODGERS, JAMESON",Some Girls,2017,G,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,7:25:00 AM,"ALDEAN, JASON",When She Says Baby,2012,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,7:31:00 AM,"BROWN, KANE/ALAINA, LAUREN",What Ifs,2016,G,c-,collab,male-female,multiethnic,KansasCity,X
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,7:42:00 AM,"STRAIT, GEORGE",You Look So Good In Love,1983,G,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,7:49:00 AM,"MCCREERY, SCOTTY",Damn Strait,2021,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,7:53:00 AM,"ATKINS, RODNEY",Watching You,2006,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,7:57:00 AM,"MCGRAW, TIM",My Next Thirty Years,1999,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,8:09:00 AM,"MURPHY, DAVID LEE",Party Crowd,1995,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,8:13:00 AM,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,8:20:00 AM,"YOUNG, BRETT",In Case You Didn't Know,2016,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,8:23:00 AM,"RUCKER, DARIUS",Don't Think I Don't Think...,2008,G,c-,solo,men,black,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,8:26:00 AM,"BROOKS, GARTH",Ain't Going Down (Til The...),1993,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,8:32:00 AM,"WALLEN, MORGAN",Whiskey Glasses,2016,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,8:35:00 AM,"SHELTON, BLAKE",Home,2008,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,8:39:00 AM,BROOKS & DUNN,Neon Moon,1992,G,c-,duo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,8:46:00 AM,"PRESLEY, ELVIS",Guitar Man,1968,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,8:56:00 AM,"BRYAN, LUKE",I See You,2013,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,8:59:00 AM,"BENTLEY, DIERKS",Come A Little Closer,2005,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,9:03:00 AM,"ADKINS, TRACE",You're Gonna Miss This,2007,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,9:07:00 AM,"CORBIN, EASTON",Baby Be My Love Song,2014,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,9:10:00 AM,"ALDEAN, JASON",Blame It On You,2019,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,9:14:00 AM,"KEITH, TOBY",Should've Been A Cowboy,1993,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,9:17:00 AM,"YOUNG, CHRIS",Hangin' On,2017,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,9:20:00 AM,"BRICE, LEE",I Drive Your Truck,2012,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,9:24:00 AM,FLORIDA GEORGIA LINE,Get Your Shine On,2012,G,c-,duo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,9:33:00 AM,"DICKERSON, RUSSELL",Every Little Thing,2016,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,9:36:00 AM,"MESSINA, JO DEE","Heads Carolina, Tails Calif.",1995,G,c-,solo,women,white,KansasCity,X
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,9:40:00 AM,"COMBS, LUKE",Doin' This,2021,R,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,9:44:00 AM,"ELDREDGE, BRETT",Don't Ya,2012,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,9:53:00 AM,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",AMD,Steel City,KFKF-FM,9:56:00 AM,"HILL, FAITH",This Kiss,1998,G,c-,solo,women,white,KansasCity,X
1/7/22,"Friday, Morris",MID,Steel City,KFKF-FM,10:00:00 AM,"PARDI, JON",Head Over Boots,2015,G,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",MID,Steel City,KFKF-FM,10:03:00 AM,"MCBRIDE, MARTINA",This One's For The Girls,2003,G,c-,solo,women,white,KansasCity,X
1/7/22,"Friday, Morris",MID,Steel City,KFKF-FM,10:07:00 AM,"RHETT, THOMAS",Country Again,2021,R,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",MID,Steel City,KFKF-FM,10:11:00 AM,BROTHERS OSBORNE,Stay A Little Longer,2013,G,c-,duo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",MID,Steel City,KFKF-FM,10:14:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",MID,Steel City,KFKF-FM,10:17:00 AM,"MURPHY, DAVID LEE",Dust On The Bottle,1995,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",MID,Steel City,KFKF-FM,10:21:00 AM,BIG & RICH,Lost In This Moment,2007,G,c-,duo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",MID,Steel City,KFKF-FM,10:30:00 AM,LOVE AND THEFT,Angel Eyes,2011,G,c-,duo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",MID,Steel City,KFKF-FM,10:33:00 AM,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,2021,R,c-,collab,women,white,KansasCity,X
1/7/22,"Friday, Morris",MID,Steel City,KFKF-FM,10:37:00 AM,"MCGRAW, TIM",Where The Green Grass Grows,1997,G,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",MID,Steel City,KFKF-FM,10:40:00 AM,"BARRETT, GABBY",The Good Ones,2019,R,c-,solo,women,white,KansasCity,X
1/7/22,"Friday, Morris",MID,Steel City,KFKF-FM,10:50:00 AM,"UNDERWOOD, CARRIE",Blown Away,2012,G,c-,solo,women,white,KansasCity,B2Bwomen
1/7/22,"Friday, Morris",MID,Steel City,KFKF-FM,10:54:00 AM,"JOHNSON, CODY",Til You Can't,2021,R,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",MID,Steel City,KFKF-FM,10:57:00 AM,"CURRINGTON, BILLY",It Don't Hurt Like It Used To,2015,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",MID,Steel City,KFKF-FM,11:00:00 AM,"BENTLEY, DIERKS",Free And Easy (Down The...),2006,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",MID,Steel City,KFKF-FM,11:04:00 AM,"TRAVIS, RANDY",Hard Rock Bottom Of Your Heart,1989,G,c-,solo,men,white,KansasCity,B2Bmen
